EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
80290,16,Verdun,,Alternate-leaf Dogwood,2024-10-28T00:00:00,ADRIEN-D.-ARCHAMBAULT (JC),300380.761,5035044.162,-73.556503,45.455313
80291,16,Verdun,,Downy Serviceberry,2024-10-28T00:00:00,ADRIEN-D.-ARCHAMBAULT (JC),300380.775,5035079.216,-73.556503,45.455629
80292,16,Verdun,,Erecta Siberian Crab Apple,,ADRIEN-D.-ARCHAMBAULT (JC),300371.758,5035211.355,-73.55662,45.456818
80293,16,Verdun,,Erecta Siberian Crab Apple,,ADRIEN-D.-ARCHAMBAULT (JC),300369.723,5035205.246,-73.556646,45.456763
80294,16,Verdun,,Silver Maple,2024-10-28T00:00:00,ADRIEN-D.-ARCHAMBAULT (JC),300380.627,5035038.793,-73.556505,45.455265
80295,16,Verdun,,Silver Maple,2024-10-28T00:00:00,ADRIEN-D.-ARCHAMBAULT (JC),300380.698,5035049.045,-73.556504,45.455357
80297,16,Verdun,,Erecta Siberian Crab Apple,,ADRIEN-D.-ARCHAMBAULT (JC),300366.34,5035209.207,-73.556689,45.456798
80298,16,Verdun,,Manitoba Maple,,LAC LACOURSIÈRE,300711.877,5035973.637,-73.552277,45.463679
80300,16,Verdun,,Manitoba Maple,,DESMARCHAIS,299772.166,5034930.801,-73.564283,45.454289
80303,16,Verdun,,Manitoba Maple,,DESMARCHAIS,299788.726,5034992.243,-73.564072,45.454842
80304,16,Verdun,,Manitoba Maple,,LAC LACOURSIÈRE,300710.339,5035970.02,-73.552297,45.463646
80306,16,Verdun,,Emerald Queen Norway Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298373.286,5033120.341,-73.582145,45.437986
80307,16,Verdun,,Eastern Cottonwood,,DESMARCHAIS,299764.306,5034906.003,-73.564384,45.454066
80308,16,Verdun,,Eastern Cottonwood,,DE L'ORÉE-DU-FLEUVE,300738.852,5034246.4,-73.551918,45.448137
80309,16,Verdun,,Siberian Elm,,ARTHUR-THERRIEN,300076.864,5036236.117,-73.5604,45.466037
80310,16,Verdun,,Norway Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298638.758,5033480.769,-73.578757,45.441232
80311,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298979.522,5033846.085,-73.574405,45.444522
80312,16,Verdun,,Siberian Elm,,DE L'HONORABLE-GEORGE-O'REILLEY,298625.627,5033365.616,-73.578923,45.440195
80313,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298724.306,5033623.67,-73.577665,45.442518
80314,16,Verdun,,Balsam Poplar,,LUCIEN-CARON,299679.246,5036871.612,-73.565492,45.471753
80315,16,Verdun,,Eastern Cottonwood,,ALFRED-SAUVÉ,299830.802,5036170.193,-73.563546,45.465442
80316,16,Verdun,,Golden Weeping Willow,,DE L'HONORABLE-GEORGE-O'REILLEY,298204.342,5032809.995,-73.5843,45.435192
80317,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298831.235,5033597.203,-73.576298,45.442281
80318,16,Verdun,,Ohio Buckeye,,DE L'HONORABLE-GEORGE-O'REILLEY,298550.033,5033349.843,-73.579889,45.440053
80319,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298869.244,5033591.633,-73.575812,45.442231
80320,16,Verdun,,Red Oak,,DE L'HONORABLE-GEORGE-O'REILLEY,298965.486,5033766.65,-73.574583,45.443807
80321,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,299016.182,5033775.358,-73.573936,45.443886
80322,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,299017.961,5033789.986,-73.573913,45.444017
80323,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298998.617,5033759.999,-73.57416,45.443747
80324,16,Verdun,,Red Ash,,DESMARCHAIS,299670.94,5034922.161,-73.565578,45.45421
80326,16,Verdun,,White Spruce,,SAINTE-FAMILLE,301688.37,5035832.063,-73.53979,45.46241
80327,16,Verdun,,Red Ash,,DESMARCHAIS,299628.639,5034866.028,-73.566118,45.453705
80331,16,Verdun,,Red Ash,,DESMARCHAIS,299654.815,5034930.753,-73.565784,45.454288
80333,16,Verdun,,Red Ash,,DESMARCHAIS,299595.295,5034869.771,-73.566544,45.453738
80335,16,Verdun,,Red Ash,,DESMARCHAIS,299658.742,5034920.443,-73.565734,45.454195
80336,16,Verdun,,White Elm,,DE L'ORÉE-DU-FLEUVE,301141.193,5034490.733,-73.546776,45.450338
80337,16,Verdun,,White Elm,,DE L'ORÉE-DU-FLEUVE,301141.193,5034490.733,-73.546776,45.450338
80338,16,Verdun,,Superform Norway Maple,,SAINTE-FAMILLE,301638.779,5035782.738,-73.540423,45.461966
80339,16,Verdun,,Emerald Queen Norway Maple,,SAINTE-FAMILLE,301635.286,5035785.261,-73.540468,45.461989
80340,16,Verdun,,Superform Norway Maple,,SAINTE-FAMILLE,301638.779,5035782.738,-73.540423,45.461966
80341,16,Verdun,,Crab Apple,,ARTHUR-THERRIEN,299892.051,5035776.006,-73.562759,45.461895
80342,16,Verdun,,Emerald Queen Norway Maple,,SAINTE-FAMILLE,301635.286,5035785.261,-73.540468,45.461989
80343,16,Verdun,,Golden Weeping Willow,,ARTHUR-THERRIEN,300010.457,5036218.442,-73.561249,45.465877
80344,16,Verdun,,Black Cherry,,ADRIEN-D.-ARCHAMBAULT (JC),300314.599,5035242.321,-73.557351,45.457096
80345,16,Verdun,,Emerald Queen Norway Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298269.496,5032993.606,-73.58347,45.436845
80346,16,Verdun,,Freeman Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298636.167,5033409.809,-73.578789,45.440593
80347,16,Verdun,,Common Hackberry,,DE L'ORÉE-DU-FLEUVE,300738.702,5034252.193,-73.55192,45.448189
80348,16,Verdun,,Armstrong Red Maple,,ARCHIE-WILCOX,299560.001,5034749.157,-73.566994,45.452653
80349,16,Verdun,,Freeman Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,299274.927,5034179.176,-73.570633,45.447522
80350,16,Verdun,,Eastern Cottonwood,,BOISÉ RIVERAIN,302051.267,5036756.218,-73.535154,45.470728
80351,16,Verdun,,Norway Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298785.47,5033641.007,-73.576883,45.442675
80352,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,299280.821,5034184.358,-73.570557,45.447568
80353,16,Verdun,,Elaeagnus angustifolia 'Velvet Touch',,SUTHERLAND-SACKVILLE-BAIN,299767.574,5036453.619,-73.564358,45.467992
80354,16,Verdun,,Eastern Cottonwood,,DESMARCHAIS,299687.069,5034813.433,-73.56537,45.453232
80355,16,Verdun,,Siberian Elm,,DE L'HONORABLE-GEORGE-O'REILLEY,298482.075,5033224.301,-73.580756,45.438923
80356,16,Verdun,,Eastern Cottonwood,,MAYNARD-FERGUSON,300544.783,5034169.824,-73.554399,45.447446
80357,16,Verdun,,Armur Maple,,ADRIEN-D.-ARCHAMBAULT (JC),300063.44,5036059.869,-73.56057,45.464451
80358,16,Verdun,,Armur Maple,,ADRIEN-D.-ARCHAMBAULT (JC),300053.221,5036056.109,-73.560701,45.464417
80359,16,Verdun,,Armur Maple,,ADRIEN-D.-ARCHAMBAULT (JC),300057.545,5036065.769,-73.560646,45.464504
80360,16,Verdun,,Skyline Honey-Locust,,ARCHIE-WILCOX,299597.352,5034822.029,-73.566517,45.453309
80361,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298577.057,5033384.992,-73.579544,45.440369
80362,16,Verdun,,Common Hackberry,,DE L'ORÉE-DU-FLEUVE,300705.555,5034290.064,-73.552344,45.448529
80363,16,Verdun,,Common Hackberry,,DE L'ORÉE-DU-FLEUVE,300705.23,5034298.267,-73.552349,45.448603
80364,16,Verdun,,Common Hackberry,,DE L'ORÉE-DU-FLEUVE,300704.245,5034304.661,-73.552361,45.448661
80365,16,Verdun,,Common Hackberry,,DE L'ORÉE-DU-FLEUVE,300705.96,5034275.39,-73.552339,45.448397
80366,16,Verdun,,Armur Maple,,MONSEIGNEUR-J.-A.-RICHARD,299889.317,5035318.44,-73.56279,45.457778
80368,16,Verdun,,Crab Apple,,DESMARCHAIS,299779.745,5034915.44,-73.564186,45.454151
80369,16,Verdun,,White Ash,,DE L'HONORABLE-GEORGE-O'REILLEY,298240.374,5032860.471,-73.583841,45.435646
80370,16,Verdun,,Crab Apple,,DESMARCHAIS,299779.148,5034916.148,-73.564194,45.454157
80371,16,Verdun,,Eastern Cottonwood,,DESMARCHAIS,299773.847,5034914.862,-73.564262,45.454146
80372,16,Verdun,,Acre x freemanii 'Armstrong',,SUTHERLAND-SACKVILLE-BAIN,299696.533,5036465.395,-73.565266,45.468097
80373,16,Verdun,,Shademaster Honey-Locust,,DE L'HONORABLE-GEORGE-O'REILLEY,298905.673,5033699.265,-73.575347,45.4432
80374,16,Verdun,,Fall Fiesta sugar maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298608.08,5033423.447,-73.579148,45.440716
80375,16,Verdun,,Ohio Buckeye,,DE L'HONORABLE-GEORGE-O'REILLEY,298944.573,5033711.018,-73.57485,45.443306
80376,16,Verdun,,Red Ash,,WOODLAND,299547.492,5034637.645,-73.567153,45.451649
80377,16,Verdun,,Royal Red Norway Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298884.592,5033649.828,-73.575616,45.442755
